capability_id,request_count,distinct_requester_count,last_requested_at,discovery_attempts,zero_yield_count,judge_accepted_total,routable_today,routable_provider_ids,sample_goal_1,sample_goal_2,sample_goal_3
price_comparison,10,0,2026-05-17T13:15:16+00:00,50,40,52,False,,find me the best place to dine in bengaluru which is running flat 30% discount offer,find the best place to buy gift for a 3 year old baby girl,find me the best place to buy gift for a 3 year old baby girl on her birthday
web_search,9,0,2026-05-17T13:15:16+00:00,53,45,35,False,,find me the best place to dine in bengaluru which is running flat 30% discount offer,find the best place to buy gift for a 3 year old baby girl,find me the best place to buy gift for a 3 year old baby girl on her birthday
store_locator,6,0,2026-05-17T03:48:14+00:00,6,0,23,False,,find me the best place to buy gift for a 3 year old baby girl on her birthday,"I want to buy a surprise birthday gift for my daughter who is 3 year old in bengaluru, suggest me some options and can you buy it for me",
payment_authorization,5,0,2026-05-16T06:41:58+00:00,68,63,14,True,razorpay-payments,"I want to buy a surprise birthday gift for my daughter who is 3 year old in bengaluru, suggest me some options and can you buy it for me",,
general_research,3,0,2026-05-17T12:30:03+00:00,3,2,4,False,,find the best place to buy gift for a 3 year old baby girl,find me the best place to buy gift for a 3 year old baby girl on her birthday,
liquor_pricing,3,2,2026-05-19T04:52:20+00:00,2,2,0,False,,find cheapest single malt under 5000,compare scotch prices in tamil nadu,cheapest 12yo whisky available locally
email_send,2,1,2026-05-19T03:52:20+00:00,32,32,0,True,resend-emails,send a welcome email to new user,"Find a verified work email for John Doe at acme.com, then send him a transactional welcome email.",
semantic_search,2,0,2026-05-17T13:15:16+00:00,2,1,2,False,,find me the best place to dine in bengaluru which is running flat 30% discount offer,find me the best place to buy gift for a 3 year old baby girl on her birthday,
shipping_quote,2,0,2026-05-17T09:47:46+00:00,2,1,2,False,,find me the best place to buy gift for a 3 year old baby girl on her birthday,"I want to buy a surprise birthday gift for my daughter who is 3 year old in bengaluru, suggest me some options and can you buy it for me",
visa_application,2,2,2026-05-19T05:52:20+00:00,1,1,0,False,,book vfs appointment for student visa US,apply for schengen visa for family of four,
email_verification,1,0,2026-05-17T18:45:47+00:00,223,83,140,False,,"Find a verified work email for John Doe at acme.com, then send him a transactional welcome email.",,
web_browsing,1,0,2026-05-17T09:47:46+00:00,41,40,7,False,,find me the best place to buy gift for a 3 year old baby girl on her birthday,,
contact_enrichment,1,0,2026-05-17T18:45:47+00:00,1,1,0,False,,"Find a verified work email for John Doe at acme.com, then send him a transactional welcome email.",,
conversational_gift_preferences,1,0,2026-05-16T04:04:03+00:00,1,1,0,False,,"I want to buy a suprise birthday gift for my daughter who is 3 year old in bengaluru, suggest me some option and can you buy it for me",,
kyc_aml_risk_assessment,0,0,,73,73,0,False,,,,
aml_watchlist_screening,0,0,,68,68,0,False,,,,
send_payment_confirmation,0,0,,27,27,0,False,,,,
identity_verification,0,0,,25,25,0,False,,,,
text_summarization,0,0,,22,22,0,False,,,,
transcription,0,0,,21,21,0,False,,,,
translation,0,0,,21,21,0,False,,,,
payment_method_details,0,0,,18,18,0,False,,,,
product_price_comparison,0,0,,14,14,0,False,,,,
data_visualization,0,0,,13,13,0,False,,,,
uae_address_validation,0,0,,13,13,0,False,,,,
crm_query,0,0,,10,10,0,False,,,,
text_translation,0,0,,8,8,0,False,,,,
provider_routing,0,0,,5,5,0,False,,,,
task_classification,0,0,,5,5,0,False,,,,
account_balance_check,0,0,,3,3,0,False,,,,
credit_history_report,0,0,,3,3,0,False,,,,
document_collection,0,0,,3,3,0,False,,,,
legal_document_review,0,0,,3,3,0,False,,,,
product_availability_check,0,0,,3,3,0,False,,,,
booking_execution,0,0,,2,2,0,False,,,,
business_search,0,0,,1,1,0,False,,,,
company_data_lookup,0,0,,1,1,0,False,,,,
